

 File contents of - check_all_bufs 
            heap       buffer         size      ref cnt            allocator    references
          system     c1f71000         1000            1                363-1    orphaned_by: 363 (surfaceflinger)
          system     c1f71a80       175000            1                363-1    orphaned_by: 363 (surfaceflinger)
          system     c1f71b40         1000            1                363-1    orphaned_by: 363 (surfaceflinger)
          system     c1f71c00       175000            1                363-1    orphaned_by: 363 (surfaceflinger)
          system     c2bf1240        22000            4              390-105    390-105, video_client-7, missing x 2
          system     c2e88780        4d000            1                363-1    orphaned_by: 363 (surfaceflinger)
          system     c2f820c0       152000            4              390-117    video_client-8, 390-117, missing x 2
          system     c3171300         1000            1                363-1    orphaned_by: 363 (surfaceflinger)
          system     c4bb1900       152000            4              390-115    video_client-8, 390-115, missing x 2
          system     c4d57600        22000            4              390-104    video_client-7, 390-104, missing x 2
          system     c51be900        22000            4              390-106    390-106, video_client-7, missing x 2
          system     c5268480         1000            1                363-1    orphaned_by: 363 (surfaceflinger)
          system     c5268600       3c0000            1                363-1    orphaned_by: 363 (surfaceflinger)
          system     c6964e40        4e000            2       video_client-8    video_client-8, missing x 1
          system     c7261600       259000            2       video_client-1    video_client-1, missing x 1
          system     c72616c0         1000            2       video_client-1    video_client-1, missing x 1
          system     c72619c0         1000            2       video_client-1    video_client-1, missing x 1
          system     d0813480         1000            1                363-1    orphaned_by: 363 (surfaceflinger)
          system     d0cf0cc0         1000            1                363-1    orphaned_by: 363 (surfaceflinger)
          system     d0dd8540         1000            1                363-1    orphaned_by: 363 (surfaceflinger)
           audio     d0f5bb40         1000            1       audio_client-1    audio_client-1, 
          system     d128cc00       980000            1                363-1    orphaned_by: 363 (surfaceflinger)
          system     d186bd80       398000            1                363-1    orphaned_by: 363 (surfaceflinger)
           audio     d1ead6c0         1000            1       audio_client-2    audio_client-2, 
          system     d203f9c0         1000            1                363-1    orphaned_by: 363 (surfaceflinger)
          system     d217d180         1000            4              390-118    video_client-8, 390-118, missing x 2
          system     d621b900         1000            1                363-1    orphaned_by: 363 (surfaceflinger)
          system     d629d0c0         1000            1                363-1    orphaned_by: 363 (surfaceflinger)
